Compounds,PE_element_1,PE_element_2,PE_element_3,Convalent_Radius_element_1,Convalent_Radius_element_2,Convalent_Radius_element_3,FIE_element_1,FIE_element_2,FIE_element_3,Row_element_1,Row_element_2,Row_element_3,DirectBand_Gap,Indirect_Band_Gap
PbTiO3,1.87,1.54,3.44,131,136,73,715.6,658.8,1313.9,6,4,2,3.95,3.15
BaNbO3,0.89,1.6,3.44,198,137,73,502.9,652.1,1313.9,6,5,2,0.31,0.09
TlZnF3,1.62,1.65,3.98,148,131,71,589.4,906.4,1618,6,4,2,5.8,5.52
CsSnCl3,0.79,1.96,3.16,225,141,99,375.7,708.6,1251.2,6,5,3,1.57,1.57
BaTiO3,0.89,1.54,3.44,198,136,73,502.9,658.8,1313.9,6,4,2,4.12,3.58
KTaO3,0.82,1.5,3.44,196,138,73,418.8,761,1313.9,4,6,2,4.1,3.39
CsGeI3,0.79,2.01,2.66,225,122,133,375.7,762,1008.4,6,4,5,1.48,1.48
NaNbO3,0.93,1.6,3.44,154,137,73,495.8,652.1,1313.9,3,5,2,4.55,3.5
KMgF3,0.82,1.31,3.98,196,130,71,418.8,737.7,1681,4,3,2,9.58,9.28
SrFeO3,0.95,1.83,3.44,192,125,73,549.5,762.5,1313.9,5,4,2,1.2,0.04
KCdF3,0.82,1.69,3.98,196,148,71,418.8,867.8,1681,4,5,2,6.69,5.28
TlMgF3,1.62,1.31,3.98,148,130,71,589.4,737.7,1681,6,3,2,5.47,5.38
RbZnF3,0.82,1.65,3.98,211,131,71,403,906.4,1681,5,4,2,7.16,6.24
RbCaF3,0.82,1,3.98,211,174,71,403,589.8,1681,5,4,2,9.11,9.01
RbCdF3,0.82,1.69,3.98,211,148,71,403,867.8,1681,5,5,2,6.61,5.36
RbCaCl3,0.82,1,3.16,211,174,99,403,589.8,1251.2,5,4,3,7.31,7.04
RbMnF3,0.82,1.55,3.98,211,139,71,403,717.3,1681,5,4,2,6.49,4.34
CsNaF3,0.79,0.93,3.98,225,154,71,375,495.8,1681,6,3,2,0.26,-0.01
CsInBr3,0.79,1.78,2.96,225,144,114,375.7,558.3,1139.9,6,5,4,0.49,0.49
TlCdF3,1.62,1.69,3.98,148,148,71,589.4,867.8,1681,6,5,2,5.91,5.76
RbNiF3,0.82,1.91,3.98,211,121,71,403,737.1,1681,5,4,2,5.56,5.3
CsTlF3,0.79,1.62,3.98,225,148,71,375.7,589.4,1681,6,6,2,0.35,0.35
CsCaF3,0.79,1,3.98,225,174,71,375.7,589.8,1681,6,4,2,9.97,9.97
SrVO3,0.95,1.63,3.44,192,125,73,549.5,650.9,1313.9,5,4,2,0.04,0.04
CsPbF3,0.79,1.87,3.98,225,147,71,375.7,715.6,1681,6,6,2,4.79,4.79
CsSnBr3,0.79,1.96,2.96,225,141,114,375.7,708.6,1139.9,6,5,4,1.11,1.11
CsCdF3,0.79,1.69,3.98,225,148,71,375.7,867.8,1681,6,5,2,6.37,5.49
KZnF3,0.82,1.65,3.98,196,131,71,418.8,906.4,1681,4,4,2,7.51,6.08
KTcO3,0.82,1.9,3.44,196,156,73,418.8,702,1313.9,4,5,2,0.13,0.03
RbVF3,0.82,1.63,3.98,211,125,71,403,650.9,1681,5,4,2,4.36,3.6
TlIO3,1.63,2.66,3.44,148,133,73,589.4,1008.4,1313.9,6,5,2,4.26,4.26
CsCaCl3,0.79,1,3.16,225,174,99,375.7,589.8,1251.2,6,4,3,7.3,7.08
CsGeBr3,0.79,2.01,2.96,225,122,114,375.7,762,1139.9,6,4,4,1.97,1.97
RbMgF3,0.82,1.31,3.98,211,130,71,403,737.7,1681,5,3,2,9.55,9.45
CsIO3,0.79,2.66,3.44,225,133,73,375.7,1008.4,1313.9,6,5,2,4.18,4.18
BaHfO3,0.89,1.3,3.44,198,150,73,502.9,658.5,1313.9,6,6,2,5.32,5.16
CaFeO3,1,3.98,3.44,174,125,73,589.8,762.5,1313.9,4,4,2,1.41,0
BaZrO3,0.89,1.33,3.44,198,148,73,502.9,640.1,1313.9,6,5,2,4.92,4.71
CsInF3,0.79,1.78,3.98,225,144,71,375.7,558.3,1681,6,5,2,0.36,0.36
CsGeCl3,0.79,2.01,3.16,225,122,99,375.7,762,1251.2,6,4,3,2.84,2.84
CsCdCl3,0.79,1.69,3.16,225,148,99,375.7,867.8,1251.2,6,5,3,3.55,3.06
CsAgCl3,0.79,1.93,3.16,225,153,99,375.7,731,1251.2,6,5,3,0.37,0.37
BaSnO3,0.89,1.96,3.44,198,141,73,502.9,708.6,1313.9,6,5,2,2.34,1.97
KCuCl3,0.82,1.9,3.16,196,138,99,418.8,745.5,1251.2,4,4,3,0.04,0.04
KNbO3,0.82,1.6,3.44,196,137,73,418.8,652.1,1313.9,4,5,2,4.44,3.52
TlAgCl3,1.62,1.93,3.16,148,153,99,589.4,731,1251.2,6,5,3,0.39,0.39
LaAlO3,1.1,1.61,3.44,169,118,73,538.1,577.5,1313.9,6,3,2,5.02,4.84
TlPdF3,1.62,2.2,3.98,148,131,71,589.4,804.4,1681,6,5,2,1.04,0.14
TlAgF3,1.62,1.93,3.98,148,153,71,589.4,731,1681,6,5,2,0,0
CsTlBr3,0.79,1.62,2.98,225,148,114,375.7,589.4,1139.9,6,6,4,0.37,0.37
RbPdCl3,0.82,2.2,3.16,211,131,99,403,804.4,1251.2,5,5,3,1.17,0.32
CsAgBr3,0.79,1.93,2.96,225,153,114,375.7,731,1139.9,6,5,4,0.34,0.34
SrTiO3,0.95,1.54,3.44,192,136,73,549.9,658.8,1313.9,5,4,2,3.97,3.42
TlHgF3,1.62,2,3.98,148,149,71,589.4,1007.1,1681,6,6,2,4.57,3.86
RbAgBr3,0.82,1.93,2.96,211,153,114,403,731,1139.9,5,5,4,0.38,0.38
CsPbBr3,0.79,1.87,2.96,225,147,114,375.7,715.6,1139.9,6,6,4,2.42,2.42
CsCaBr3,0.79,1,2.96,225,174,114,375.7,589.8,1139.9,6,4,4,6.35,6.09
CsPbCl3,0.79,1.87,3.16,225,147,99,375.7,715.6,1251.2,6,6,3,2.95,2.95
KWO3,0.82,2.36,3.44,196,146,73,418.8,770,1313.9,4,6,2,0.08,0.08
RbHgF3,0.82,2,3.98,211,149,71,403,1007.1,1681,5,6,2,4.77,2.59
KAgBr3,0.82,1.93,2.96,196,153,114,418.8,731,1139.9,4,5,4,0.4,0.4
KAgCl3,0.82,1.93,3.16,196,153,99,418.8,731,1251.2,4,5,3,0.01,0.01
CsHgF3,0.79,2,3.98,225,149,71,375.7,1007.1,1681,6,6,2,4.51,2.65
RbTlF3,0.82,1.62,3.98,211,148,71,403,589.4,1681,5,6,2,0.01,0.01
RbIO3,0.82,2.66,3.44,211,133,73,403,1008.4,1313.9,5,5,2,3.88,3.88
NaMoO3,0.93,2.16,3.44,154,145,73,495.8,684.3,1313.9,3,5,2,0.02,0.02
LaReN3,1.1,1.9,3.04,169,159,75,538.1,760,1402.3,6,6,2,0.04,0.04
RbAgCl3,0.82,1.93,3.16,211,153,99,403,731,1251.2,5,5,3,0.39,0.39
KAgF3,0.82,1.93,3.98,196,153,71,418.8,731,1681,4,5,2,0.54,0.32
KCuF3,0.82,1.9,3.98,196,138,71,418.8,745.5,1681,4,4,2,2.28,1.76
TlCuF3,1.62,1.9,3.98,148,138,71,589.4,745.5,1681,6,4,2,2.25,1.82
RbCuF3,0.82,1.9,3.98,211,138,71,403,745.5,1681,5,4,2,2.2,1.79
CsSrCl3,0.79,0.95,3.16,225,192,99,375.7,549.5,1251.2,6,5,3,6.48,6.29
BaBiO3,0.89,2.02,3.44,198,146,73,502.9,703,1313.9,6,6,2,0.25,0.25
RbAgF3,0.82,1.93,3.98,211,153,71,403,731,1681,5,5,2,0.02,0.02
CsPdBr3,0.79,2.2,2.96,225,131,114,375.7,804.4,1139.9,6,5,4,0.01,0
RbOsO3,0.82,2.2,3.44,211,128,73,403,840,1313.9,5,6,2,0,0
SrNbO3,0.95,1.6,3.44,192,137,73,549.5,652.1,1313.9,5,5,2,0.08,0.08
KMnF3,0.82,1.55,3.98,196,139,71,418.8,717.3,1681,4,4,2,6.23,4.04
CsSnF3,0.79,1.96,3.98,225,141,71,375.7,708.6,1681,6,5,2,4.1,4.1
InGeCl3,1.78,2.01,3.16,144,122,99,558.3,762,1251.2,5,4,3,3.03,3.03
NaTcO3,0.93,1.9,3.44,154,156,73,495.8,702,1313.9,3,5,2,0.13,0.01
CsSrF3,0.79,0.95,3.98,225,192,71,375.7,549.5,1681,6,5,2,8.24,8.24
RbGeBr3,0.82,2.01,2.96,211,122,114,403,762,1139.9,5,4,4,1.65,1.65
RbInCl3,0.82,1.78,3.16,211,144,99,403,558.3,1251.2,5,5,3,0.57,0.57
RbCrCl3,0.82,1.66,3.16,211,127,99,403,652.9,1251.2,5,4,3,0.83,0.16
PbHfO3,1.87,1.3,3.44,147,150,73,715.6,658.5,1313.9,6,6,2,4.61,4.5
RbPdBr3,0.82,2.2,2.96,211,131,114,403,804.4,1139.9,5,5,4,0.03,0.01
RbSnBr3,0.82,1.96,2.96,211,141,114,403,708.6,1139.9,5,5,4,1.1,1.1
TlMnF3,1.62,1.55,3.98,148,139,71,589.4,717.3,1681,6,4,2,4.78,3.92
CsScBr3,0.79,1.36,2.96,225,144,114,375.7,633.1,1139.9,6,4,4,0.02,0.02
NaWO3,0.93,2.36,3.44,154,146,73,495.8,770,1313.9,3,6,2,0.01,0.01
RbPbF3,0.82,1.87,3.98,211,147,71,403,715.6,1681,5,6,2,4.91,4.8
KIO3,0.82,2.66,3.44,196,133,73,418.8,1008.4,1313.9,4,5,2,3.52,3.52
BaPbO3,0.89,1.87,3.44,198,147,73,502.9,715.6,1313.9,6,6,2,1.35,0.64
TlGeF3,1.62,2.01,3.98,148,122,71,589.4,762,1681,6,4,2,4.33,3.99
CsMnF3,0.79,1.55,3.98,225,139,71,375.7,717.3,1681,6,4,2,6.98,4.67
TlFeF3,1.62,1.83,3.98,148,125,71,589.4,762.5,1681,6,4,2,2.85,2.51
KCaF3,0.82,1,3.98,196,174,71,418.8,589.8,1681,4,4,2,8.71,8.59
CsAgF3,0.79,1.93,3.98,225,153,71,375.7,731,1681,6,5,2,0.02,0.02
CsSnI3,0.79,1.96,2.66,225,141,133,375.7,708.6,1008.4,6,5,5,0.85,0.85
TlCuCl3,1.62,1.9,3.16,148,138,99,589.4,745.5,1251.2,6,4,3,0.05,0.05
CsCaI3,0.79,1,2.66,225,174,133,375.7,589.8,1008.4,6,4,5,5.17,4.88
KMnCl3,0.82,1.55,3.16,196,139,99,418.8,717.3,1251.2,4,4,3,5.73,3.62
InSnBr3,1.78,1.96,2.96,144,141,114,558.3,708.6,1139.9,5,5,4,1.58,1.58
InMnF3,1.78,1.55,3.98,144,139,71,558.3,717.3,1681,5,4,2,4.65,3.81
RbInBr3,0.82,1.78,2.96,211,144,114,403,558.3,1139.9,5,5,4,0.5,0.5
CsSrBr3,0.79,0.95,2.96,225,192,114,375.7,549.5,1139.9,6,5,4,5.58,5.35
SrCrO3,0.95,1.66,3.44,192,127,73,549.5,652.9,1313.9,5,4,2,0.61,0.14
KGeCl3,0.82,2.01,3.16,196,122,99,418.8,762,1251.2,4,4,3,2.16,2.16
RbCuBr3,0.82,1.9,2.96,211,138,114,403,745.5,1139.9,5,4,4,0.24,0.24
CsTlCl3,0.79,1.62,3.16,225,148,99,375.7,589.4,1251.2,6,6,3,0.45,0.45
